02,01,01,01,01,01,01,01,10,10,10,10,10,10,01,01
02,01,01,01,01,01,01,01,10,09,09,09,12,10,01,01
02,01,01,01,01,01,01,01,01,09,09,09,09,10,01,01
02,01,01,01,01,01,01,01,01,09,09,09,09,10,01,01
02,02,01,01,01,01,01,01,10,11,09,09,09,10,01,01
01,02,02,01,01,01,01,01,10,10,10,10,10,10,01,01
01,01,02,01,01,01,01,01,01,01,01,01,01,03,04,01
01,01,02,01,01,01,01,01,01,01,01,01,01,05,06,01
01,01,02,02,02,02,02,02,02,02,01,01,01,01,01,01
01,01,01,01,01,01,01,01,01,02,02,02,02,02,02,02
01,01,01,01,01,01,01,01,01,02,01,01,01,01,01,01
01,01,01,01,01,01,01,01,01,02,01,01,01,01,01,01
01,01,01,03,04,01,01,01,01,02,01,01,01,03,04,01
01,01,01,05,06,01,01,01,01,02,01,01,01,05,06,01
01,01,01,01,01,01,01,01,01,02,02,02,01,01,01,01
01,01,01,01,01,01,01,01,01,01,01,02,01,01,01,01
