14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,9,9,9,9,14,9,9,9,9,9,9,9,9,9,14
14,9,9,9,9,14,9,9,9,9,9,9,9,9,9,14
14,9,9,9,9,14,9,9,9,9,9,9,9,9,9,14
14,9,9,9,11,14,7,9,9,9,9,9,9,9,9,14
14,9,14,14,14,14,14,14,14,14,14,14,14,14,9,14
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
14,1,1,1,1,1,1,1,1,1,13,13,13,13,1,14
14,1,1,1,1,1,1,1,1,1,13,13,13,13,1,14
14,1,1,1,1,1,1,1,1,1,13,13,13,13,1,14
14,1,1,1,1,1,1,1,1,1,13,13,13,13,1,14
14,1,1,1,1,1,1,1,1,1,13,13,13,13,1,14
14,1,1,1,1,1,1,1,1,1,13,13,13,13,1,14
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
